21/08/2015 |    1000.00 | Donacion
21/08/2015 |     512.00 | PONE ANONIMO
22/08/2015 |     500.00 | donacion
22/08/2015 |     303.00 | 
21/08/2015 |     400.00 | ABZ
21/08/2015 |     400.00 | voto
21/08/2015 |     500.00 | donacion
21/08/2015 |    1000.00 | VOTO
21/08/2015 |      50.00 | NERD
21/08/2015 |     200.00 | DONACION
21/08/2015 |     620.00 | DONAJOAC
21/08/2015 |     200.00 | 
21/08/2015 |     314.15 | 
21/08/2015 |     400.00 | donaciìn
21/08/2015 |     100.00 | abogados
21/08/2015 |     500.00 | 250713
22/08/2015 |     128.00 | FUCK THEM
23/08/2015 |     350.00 | 
23/08/2015 |     100.00 | DONACION
24/08/2015 |     300.00 | DEMOCRACIA
24/08/2015 |     500.00 | joac
24/08/2015 |     500.00 | DONACION
24/08/2015 |    1000.00 | IOS
24/08/2015 |     250.00 | DONACION
24/08/2015 |     500.00 | IOS
24/08/2015 |     500.00 | ANONIMOPLS
24/08/2015 |     100.00 | Donacion
24/08/2015 |     200.00 | Donacion
24/08/2015 |     300.00 | IOS
24/08/2015 |     512.00 | joac
25/08/2015 |     655.36 | IOS
25/08/2015 |     100.00 | IOS
26/08/2015 |     500.00 | CARPEDIEM
27/08/2015 |    1500.00 | 957491
27/08/2015 |    1500.00 | 957491
28/08/2015 |     100.00 | VarGracias
31/08/2015 |    1000.00 | IOS      
01/09/2015 |     100.00 | SUERTE
02/09/2015 |     250.00 | DONACION    
02/09/2015 |    1000.00 | Donacion    
04/09/2015 |     700.00 | ANTONIO     
05/09/2015 |    5000.00 | 22081970
07/09/2015 |    1000.00 | NOVOTO
29/09/2015 |    2100.00 | ANONIMO
11/10/2015 |     500.00 | MB
28/10/2015 |     200.00 | Donacion    
